subject,relation,object
gene,causes condition,disease
interaction,colocalizes with,gene
homology,colocalizes with,homology
homology,colocalizes with,gene
gene,colocalizes with,gene
interaction,colocalizes with,interaction
homology,colocalizes with,interaction
interaction,colocalizes with,homology
gene,colocalizes with,interaction
gene,colocalizes with,homology
gene,contributes to,disease
homology,contributes to,disease
marker,contributes to condition,disease
gene,contributes to condition,disease
homology,contributes to condition,disease
homology,contributes to condition,phenotype
interaction,contributes to condition,phenotype
interaction,contributes to condition,disease
variant,contributes to condition,disease
variant,contributes to condition,phenotype
gene,contributes to condition,phenotype
homology,enables,function
interaction,enables,function
gene,enables,function
model,expressed in,anatomy
gene,expressed in,anatomy
interaction,expressed in,anatomy
homology,expressed in,anatomy
variant,has affected feature,marker
variant,has affected feature,homology
variant,has affected feature,interaction
variant,has affected feature,gene
model,has genotype,genotype
disease,has phenotype,phenotype
gene,has phenotype,phenotype
homology,has phenotype,phenotype
variant,has phenotype,phenotype
interaction,has phenotype,phenotype
model,has phenotype,phenotype
genotype,has phenotype,disease
genotype,has phenotype,phenotype
homology,has role in modeling,disease
variant,has role in modeling,disease
gene,has role in modeling,disease
model,has role in modeling,disease
interaction,has role in modeling,disease
genotype,has role in modeling,disease
gene,in 1 to 1 orthology relationship with,gene
interaction,in 1 to 1 orthology relationship with,interaction
homology,in 1 to 1 orthology relationship with,gene
homology,in 1 to 1 orthology relationship with,homology
gene,in 1 to 1 orthology relationship with,homology
homology,in 1 to 1 orthology relationship with,interaction
interaction,in 1 to 1 orthology relationship with,gene
gene,in 1 to 1 orthology relationship with,interaction
interaction,in 1 to 1 orthology relationship with,homology
gene,in orthology relationship with,gene
interaction,in orthology relationship with,gene
model,in orthology relationship with,homology
interaction,in orthology relationship with,homology
homology,in orthology relationship with,homology
gene,in orthology relationship with,homology
homology,in orthology relationship with,interaction
homology,in orthology relationship with,model
model,in orthology relationship with,gene
interaction,in orthology relationship with,interaction
model,in orthology relationship with,interaction
gene,in orthology relationship with,model
interaction,in orthology relationship with,model
homology,in orthology relationship with,gene
gene,in orthology relationship with,interaction
interaction,interacts with,interaction
homology,interacts with,homology
homology,interacts with,interaction
homology,interacts with,gene
interaction,interacts with,homology
gene,interacts with,gene
gene,interacts with,homology
interaction,interacts with,gene
gene,interacts with,interaction
gene,involved in,pathway
disease,involved in,pathway
interaction,involved in,pathway
homology,involved in,pathway
homology,involved in,function
interaction,involved in,function
gene,involved in,function
model,is allele of,gene
variant,is allele of,gene
gene,is causal germline mutation in,disease
homology,is causal germline mutation partially giving rise to,disease
gene,is part of,function
interaction,is part of,function
homology,is part of,function
gene product,is product of,gene
drug,is substance that treats,phenotype
model,nan,genotype
variant,nan,genotype
variant,nan,model
model,nan,gene
model,nan,homology
genotype,nan,gene
genotype,nan,homology
variant,pathogenic for condition,disease
drug,targets,gene product
