subject,relation,object
GENE,causes condition,DISO
ORTH,colocalizes with,ORTH
GENE,colocalizes with,GENE
GENE,contributes to,DISO
GENE,contributes to condition,DISO
GENO,contributes to condition,GENO
GENE,contributes to condition,GENO
GENO,contributes to condition,DISO
GENO,enables,PHYS
ORTH,enables,PHYS
GENE,enables,PHYS
GENE,expressed in,ANAT
ORTH,expressed in,ANAT
ORTH,has phenotype,GENO
GENO,has phenotype,GENO
DISO,has phenotype,DISO
GENE,has phenotype,DISO
GENO,has phenotype,DISO
ORTH,has phenotype,DISO
GENO,has role in modeling,DISO
ORTH,has role in modeling,DISO
GENO,has affected feature,GENE
VARI,has affected feature,GENE
ORTH,has affected feature,ORTH
GENO,has genotype,DISO
GENO,has genotype,ORTH
GENO,has genotype,GENO
GENO,in 1 to 1 orthology relationship with,ORTH
GENO,in 1 to 1 orthology relationship with,GENO
ORTH,in 1 to 1 orthology relationship with,ORTH
GENE,in 1 to 1 orthology relationship with,GENE
GENE,in 1 to 1 orthology relationship with,GENO
GENE,in 1 to 1 orthology relationship with,ORTH
ORTH,in 1 to 1 orthology relationship with,GENO
ORTH,in 1 to 1 orthology relationship with,GENE
GENO,in 1 to 1 orthology relationship with,GENE
ORTH,in orthology relationship with,GENO
GENO,in orthology relationship with,GENO
GENE,in orthology relationship with,GENO
GENE,in orthology relationship with,ORTH
GENO,in orthology relationship with,ORTH
ORTH,in orthology relationship with,GENE
ORTH,in orthology relationship with,ORTH
GENE,in orthology relationship with,GENE
GENO,in orthology relationship with,GENE
GENE,interacts with,GENE
ORTH,interacts with,GENE
ORTH,interacts with,ORTH
GENE,interacts with,ORTH
ORTH,involved in,PHYS
GENE,involved in,PHYS
DISO,involved in,PHYS
GENO,involved in,PHYS
GENE,is causal germline mutation in,DISO
GENE,is causal germline mutation partially giving rise to,DISO
GENE,is marker for,DISO
GENO,is part of,PHYS
GENE,is part of,PHYS
ORTH,is part of,PHYS
DRUG,is substance that treats,DISO
DISO,is allele of,GENE
ORTH,is allele of,ORTH
VARI,likely pathogenic for condition,DISO
VARI,pathogenic for condition,DISO
GENE,pathogenic for condition,DISO
PHYS,source,GENE
GENO,undefined,GENE
ORTH,undefined,ORTH
GENO,undefined,ORTH
DISO,undefined,GENO
