subject,relation,object
interaction,causes condition,disease
gene,colocalizes with,interaction
interaction,colocalizes with,homology
homology,colocalizes with,gene
interaction,colocalizes with,gene
interaction,colocalizes with,interaction
homology,colocalizes with,interaction
gene,colocalizes with,gene
homology,colocalizes with,homology
gene,colocalizes with,homology
gene,contributes to condition,phenotype
interaction,contributes to condition,phenotype
variant,contributes to condition,phenotype
variant,contributes to condition,disease
marker,contributes to condition,disease
marker,contributes to condition,phenotype
homology,contributes to condition,disease
gene,contributes to condition,disease
interaction,contributes to condition,disease
homology,contributes to condition,phenotype
homology,enables,function
gene,enables,function
interaction,enables,function
interaction,expressed in,anatomy
homology,expressed in,anatomy
gene,expressed in,anatomy
variant,has affected feature,homology
variant,has affected feature,gene
variant,has affected feature,marker
model,has affected feature,gene
variant,has affected feature,interaction
model,has genotype,genotype
model,has genotype,variant
genotype,has phenotype,disease
genotype,has phenotype,phenotype
homology,has phenotype,phenotype
variant,has phenotype,phenotype
interaction,has phenotype,phenotype
variant,has phenotype,disease
disease,has phenotype,phenotype
phenotype,has phenotype,phenotype
gene,has phenotype,phenotype
model,has phenotype,phenotype
homology,has role in modeling,disease
variant,has role in modeling,disease
model,has role in modeling,disease
genotype,has role in modeling,disease
interaction,has role in modeling,disease
gene,has role in modeling,disease
gene,in 1 to 1 orthology relationship with,interaction
homology,in 1 to 1 orthology relationship with,gene
interaction,in 1 to 1 orthology relationship with,gene
interaction,in 1 to 1 orthology relationship with,homology
homology,in 1 to 1 orthology relationship with,interaction
gene,in 1 to 1 orthology relationship with,gene
gene,in 1 to 1 orthology relationship with,homology
interaction,in 1 to 1 orthology relationship with,interaction
homology,in 1 to 1 orthology relationship with,homology
homology,in orthology relationship with,gene
gene,in orthology relationship with,homology
gene,in orthology relationship with,gene
homology,in orthology relationship with,homology
interaction,in orthology relationship with,gene
interaction,in orthology relationship with,homology
interaction,in orthology relationship with,interaction
gene,in orthology relationship with,interaction
homology,in orthology relationship with,interaction
interaction,interacts with,interaction
homology,interacts with,interaction
gene,interacts with,gene
model,interacts with,gene
homology,interacts with,gene
homology,interacts with,homology
gene,interacts with,homology
gene,interacts with,model
gene,interacts with,interaction
interaction,interacts with,gene
model,interacts with,homology
homology,interacts with,model
interaction,interacts with,homology
homology,involved in,pathway
disease,involved in,function
gene,involved in,function
interaction,involved in,pathway
gene,involved in,pathway
homology,involved in,function
disease,involved in,pathway
interaction,involved in,function
variant,is allele of,gene
variant,is allele of,interaction
interaction,is causal germline mutation in,disease
homology,is causal germline mutation in,disease
gene,is causal germline mutation in,disease
gene,is causal germline mutation partially giving rise to,disease
gene,is part of,function
homology,is part of,function
interaction,is part of,function
gene product,is product of,interaction
gene product,is product of,gene
gene product,is product of,homology
chemical,is substance that treats,disease
drug,is substance that treats,phenotype
variant,likely pathogenic for condition,disease
genotype,nan,interaction
genotype,nan,homology
model,nan,interaction
model,nan,gene
genotype,nan,gene
variant,nan,genotype
variant,pathogenic for condition,disease
drug,targets,gene product
