subject,relation,object
GENE,causes condition,DISO
ORTH,colocalizes with,ORTH
GENE,colocalizes with,GENE
GENO,contributes to condition,GENO
GENE,contributes to condition,DISO
GENE,contributes to condition,GENO
GENO,contributes to condition,DISO
GENE,enables,PHYS
GENO,enables,PHYS
ORTH,enables,PHYS
ORTH,expressed in,ANAT
GENE,expressed in,ANAT
GENO,has affected feature,GENE
ORTH,has affected feature,ORTH
VARI,has affected feature,GENE
GENO,has genotype,DISO
GENO,has genotype,ORTH
GENO,has genotype,GENO
DISO,has phenotype,DISO
ORTH,has phenotype,GENO
GENO,has phenotype,DISO
ORTH,has phenotype,DISO
GENE,has phenotype,DISO
GENO,has role in modeling,DISO
ORTH,has role in modeling,DISO
GENO,in 1 to 1 orthology relationship with,ORTH
ORTH,in 1 to 1 orthology relationship with,GENO
GENO,in 1 to 1 orthology relationship with,GENE
ORTH,in 1 to 1 orthology relationship with,GENE
GENE,in 1 to 1 orthology relationship with,ORTH
ORTH,in 1 to 1 orthology relationship with,ORTH
GENE,in 1 to 1 orthology relationship with,GENO
GENE,in 1 to 1 orthology relationship with,GENE
GENE,in orthology relationship with,GENE
ORTH,in orthology relationship with,ORTH
GENE,in orthology relationship with,GENO
GENO,in orthology relationship with,GENE
GENO,in orthology relationship with,ORTH
ORTH,in orthology relationship with,GENE
ORTH,in orthology relationship with,GENO
GENE,in orthology relationship with,ORTH
GENE,interacts with,ORTH
ORTH,interacts with,ORTH
ORTH,interacts with,GENE
GENE,interacts with,GENE
DISO,involved in,PHYS
GENO,involved in,PHYS
GENE,involved in,PHYS
ORTH,involved in,PHYS
DISO,is allele of,GENE
ORTH,is allele of,ORTH
GENE,is causal germline mutation in,DISO
GENE,is causal germline mutation partially giving rise to,DISO
GENO,is part of,PHYS
GENE,is part of,PHYS
ORTH,is part of,PHYS
DRUG,is substance that treats,DISO
VARI,likely pathogenic for condition,DISO
ORTH,nan,ORTH
GENO,nan,GENE
GENO,nan,ORTH
DISO,nan,GENO
VARI,pathogenic for condition,DISO
DRUG,targets,ORTH
DRUG,targets,GENE
