Symptom ID,Symptom
HP:0000741,Apathy
HP:0002072,Chorea
HP:0000739,Anxiety
HP:0001268,Mental deterioration
HP:0031843,Bradyphrenia
HP:0001336,Myoclonus
HP:0030842,Choking episodes
HP:0030955,Alcoholism
HP:0000738,Hallucinations
HP:0040140,Degeneration of the striatum
HP:0031589,Suicidal ideation
HP:0031845,Abnormal libido
HP:0002591,Polyphagia
HP:0002529,Neuronal loss in central nervous system
HP:0002354,Memory impairment
HP:0000716,Depression
HP:0001824,Weight loss
HP:0002063,Rigidity
HP:0002312,Clumsiness
HP:0000746,Delusions
HP:0001288,Gait disturbance
HP:0000726,Dementia
HP:0002340,Caudate atrophy
HP:0002141,Gait imbalance
HP:0002059,Cerebral atrophy
HP:0000722,Obsessive-compulsive behavior
HP:0002171,Gliosis
HP:0000734,Disinhibition
HP:0002355,Difficulty walking
HP:0003487,Babinski sign
HP:0001262,Excessive daytime somnolence
HP:0004305,Involuntary movements
HP:0000751,Personality changes
HP:0004408,Abnormality of the sense of smell
HP:0001332,Dystonia
HP:0010794,Impaired visuospatial constructive cognition
HP:0002500,Abnormal cerebral white matter morphology
HP:0002067,Bradykinesia
HP:0007010,Poor fine motor coordination
HP:0000713,Agitation
HP:0002300,Mutism
HP:0025401,Staring gaze
HP:0001272,Cerebellar atrophy
HP:0009088,Speech articulation difficulties
HP:0031473,Hostility
HP:0200136,Oral-pharyngeal dysphagia
HP:0003107,Abnormal circulating cholesterol concentration
HP:0100785,Insomnia
HP:0002066,Gait ataxia
HP:0000496,Abnormality of eye movement
HP:0001347,Hyperreflexia
HP:0045082,Decreased body mass index
HP:0000718,Aggressive behavior
HP:0003324,Generalized muscle weakness
HP:0002540,Inability to walk
HP:0002169,Clonus
HP:0001250,Seizure
HP:0000737,Irritability
