index_id,id,semantic,label,semantic_id
0,MP:0005217,phenotype,abnormal pancreatic beta cell morphology,8
1,ENSEMBL:ENSMODG00000023604,gene,ENSEMBL:ENSMODG00000023604,4
2,ZP:0006389,phenotype,"retinal outer nuclear layer absent, abnormal",8
3,MONARCH:APO_0000255APO_0000249,phenotype,cell cycle progression in G1 phase:delayed,8
4,ENSEMBL:ENSACAG00000009470,gene,ENSEMBL:ENSACAG00000009470,4
5,ZP:0018637,phenotype,"atrioventricular canal mislocalised, abnormal",8
6,WBPhenotype:0001936,phenotype,resistant to protein aggregation induced paralysis,8
7,HP:0004372,phenotype,Reduced consciousness/confusion,8
8,HP:0000977,phenotype,Soft skin,8
9,WBPhenotype:0001983,phenotype,lawn leaving behavior variant,8
10,RGD:628886,gene,Optn,4
11,ZFIN:ZDB-GENE-070424-194,gene,zdhhc17,4
12,ENSEMBL:ENSECAG00000022880,gene,ENSEMBL:ENSECAG00000022880,4
13,MP:0008496,phenotype,decreased IgG2a level,8
14,ENSEMBL:ENSRNOG00000054497,gene,Taf4,4
15,ENSEMBL:ENSSSCG00000016272,gene,ENSEMBL:ENSSSCG00000016272,4
16,WBPhenotype:0002010,phenotype,protein turnover variant,8
17,ENSEMBL:ENSPTRG00000043162,gene,ENSEMBL:ENSPTRG00000043162,4
18,ZP:0004779,phenotype,"lens opaque, abnormal",8
19,WBPhenotype:0001519,phenotype,posterior cell migration variant,8
20,MP:0008770,phenotype,decreased survivor rate,8
21,MP:0013733,phenotype,squamous metaplasia of bulbourethral gland,8
22,ENSEMBL:ENSSSCG00000001410,gene,BAG6,4
23,HP:0006270,phenotype,Hypoplastic spleen,8
24,HP:0001650,phenotype,Aortic valve stenosis,8
25,ZP:0008128,phenotype,"synapse assembly disrupted, abnormal",8
26,ZP:0002810,phenotype,"swimming behavior decreased process quality, abnormal",8
27,ENSEMBL:ENSCAFG00000000641,gene,ENSEMBL:ENSCAFG00000000641,4
28,ZFIN:ZDB-GENE-030131-139,gene,rab5aa,4
29,ZFIN:ZDB-GENE-030616-178,gene,vat1,4
30,ZP:0000955,phenotype,"determination of heart left/right asymmetry disrupted, abnormal",8
31,ZP:0018340,phenotype,"axon epibranchial ganglion morphology, abnormal",8
32,ZFIN:ZDB-GENE-020326-1,gene,psma6a,4
33,ENSEMBL:ENSBTAG00000004556,gene,ENSEMBL:ENSBTAG00000004556,4
34,MP:0013975,phenotype,abnormal coronary sinus connection,8
35,ENSEMBL:ENSBTAG00000020262,gene,ENSEMBL:ENSBTAG00000020262,4
36,Xenbase:XB-GENE-995345,gene,map6,4
37,MP:0003063,phenotype,increased coping response,8
