subject,relation,object
GENE,causes condition,DISO
GENE,colocalizes with,ORTH
ORTH,colocalizes with,GENE
GENE,colocalizes with,GENE
ORTH,colocalizes with,ORTH
GENE,contributes to,DISO
GENE,contributes to condition,DISO
ORTH,contributes to condition,DISO
GENO,contributes to condition,GENO
GENE,contributes to condition,GENO
GENO,contributes to condition,DISO
GENE,enables,PHYS
ORTH,enables,PHYS
GENO,enables,PHYS
GENE,expressed in,ANAT
ORTH,expressed in,ANAT
GENO,has affected feature,ORTH
VARI,has affected feature,GENE
GENO,has affected feature,GENE
ORTH,has affected feature,ORTH
GENO,has genotype,GENO
DISO,has phenotype,DISO
ORTH,has phenotype,DISO
GENO,has phenotype,DISO
ORTH,has phenotype,GENO
GENE,has phenotype,DISO
ORTH,has role in modeling,DISO
GENO,has role in modeling,DISO
GENE,in 1 to 1 orthology relationship with,GENE
ORTH,in 1 to 1 orthology relationship with,ORTH
GENE,in 1 to 1 orthology relationship with,GENO
GENE,in 1 to 1 orthology relationship with,ORTH
GENO,in 1 to 1 orthology relationship with,ORTH
ORTH,in 1 to 1 orthology relationship with,GENE
ORTH,in 1 to 1 orthology relationship with,GENO
GENO,in 1 to 1 orthology relationship with,GENE
GENE,in orthology relationship with,GENO
GENO,in orthology relationship with,ORTH
ORTH,in orthology relationship with,ORTH
GENO,in orthology relationship with,GENE
ORTH,in orthology relationship with,GENE
GENE,in orthology relationship with,ORTH
GENE,in orthology relationship with,GENE
ORTH,in orthology relationship with,GENO
GENE,interacts with,GENE
ORTH,interacts with,ORTH
ORTH,interacts with,GENE
GENE,interacts with,ORTH
GENO,involved in,PHYS
DISO,involved in,PHYS
ORTH,involved in,PHYS
GENE,involved in,PHYS
DISO,is allele of,GENE
ORTH,is allele of,ORTH
GENE,is causal germline mutation in,DISO
GENE,is causal germline mutation partially giving rise to,DISO
ORTH,is part of,PHYS
GENO,is part of,PHYS
GENE,is part of,PHYS
DRUG,is substance that treats,DISO
ORTH,nan,GENE
ORTH,nan,ORTH
VARI,pathogenic for condition,DISO
DRUG,targets,ORTH
DRUG,targets,GENE
