id,label,iri,taxon_id,taxon_label
GO:0034622,cellular protein-containing complex assembly,http://purl.obolibrary.org/obo/GO_0034622,,
GO:0086001,cardiac muscle cell action potential,http://purl.obolibrary.org/obo/GO_0086001,,
GO:0034613,cellular protein localization,http://purl.obolibrary.org/obo/GO_0034613,,
GO:0007010,cytoskeleton organization,http://purl.obolibrary.org/obo/GO_0007010,,
GO:0010880,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,http://purl.obolibrary.org/obo/GO_0010880,,
GO:0010881,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,http://purl.obolibrary.org/obo/GO_0010881,,
GO:0035633,maintenance of blood-brain barrier,http://purl.obolibrary.org/obo/GO_0035633,,
GO:0060314,regulation of ryanodine-sensitive calcium-release channel activity,http://purl.obolibrary.org/obo/GO_0060314,,
GO:0046716,muscle cell cellular homeostasis,http://purl.obolibrary.org/obo/GO_0046716,,
GO:1902083,negative regulation of peptidyl-cysteine S-nitrosylation,http://purl.obolibrary.org/obo/GO_1902083,,
GO:0007517,muscle organ development,http://purl.obolibrary.org/obo/GO_0007517,,
GO:0035994,response to muscle stretch,http://purl.obolibrary.org/obo/GO_0035994,,
GO:0002027,regulation of heart rate,http://purl.obolibrary.org/obo/GO_0002027,,
GO:0030049,muscle filament sliding,http://purl.obolibrary.org/obo/GO_0030049,,
GO:0048747,muscle fiber development,http://purl.obolibrary.org/obo/GO_0048747,,
GO:0043043,peptide biosynthetic process,http://purl.obolibrary.org/obo/GO_0043043,,
GO:1901385,regulation of voltage-gated calcium channel activity,http://purl.obolibrary.org/obo/GO_1901385,,
GO:0014819,regulation of skeletal muscle contraction,http://purl.obolibrary.org/obo/GO_0014819,,
GO:0033137,negative regulation of peptidyl-serine phosphorylation,http://purl.obolibrary.org/obo/GO_0033137,,
GO:0060048,cardiac muscle contraction,http://purl.obolibrary.org/obo/GO_0060048,,
GO:0014809,regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,http://purl.obolibrary.org/obo/GO_0014809,,
GO:2000651,positive regulation of sodium ion transmembrane transporter activity,http://purl.obolibrary.org/obo/GO_2000651,,
