id,label,iri,taxon_id,taxon_label
GO:0005829,cytosol,http://purl.obolibrary.org/obo/GO_0005829,NCBITaxon:131567,cellular organisms
GO:0016328,lateral plasma membrane,http://purl.obolibrary.org/obo/GO_0016328,NCBITaxon:131567,cellular organisms
GO:0030055,cell-substrate junction,http://purl.obolibrary.org/obo/GO_0030055,NCBITaxon:131567,cellular organisms
GO:0045121,membrane raft,http://purl.obolibrary.org/obo/GO_0045121,NCBITaxon:131567,cellular organisms
GO:0005856,cytoskeleton,http://purl.obolibrary.org/obo/GO_0005856,NCBITaxon:131567,cellular organisms
GO:0043034,costamere,http://purl.obolibrary.org/obo/GO_0043034,NCBITaxon:131567,cellular organisms
GO:0045211,postsynaptic membrane,http://purl.obolibrary.org/obo/GO_0045211,NCBITaxon:131567,cellular organisms
GO:0016013,syntrophin complex,http://purl.obolibrary.org/obo/GO_0016013,NCBITaxon:131567,cellular organisms
GO:0045202,synapse,http://purl.obolibrary.org/obo/GO_0045202,NCBITaxon:131567,cellular organisms
GO:0030018,Z disc,http://purl.obolibrary.org/obo/GO_0030018,NCBITaxon:131567,cellular organisms
GO:0044306,neuron projection terminus,http://purl.obolibrary.org/obo/GO_0044306,NCBITaxon:131567,cellular organisms
GO:0016010,dystrophin-associated glycoprotein complex,http://purl.obolibrary.org/obo/GO_0016010,NCBITaxon:131567,cellular organisms
GO:0009986,cell surface,http://purl.obolibrary.org/obo/GO_0009986,NCBITaxon:131567,cellular organisms
GO:0042383,sarcolemma,http://purl.obolibrary.org/obo/GO_0042383,NCBITaxon:131567,cellular organisms
GO:0031527,filopodium membrane,http://purl.obolibrary.org/obo/GO_0031527,NCBITaxon:131567,cellular organisms
GO:0032991,protein-containing complex,http://purl.obolibrary.org/obo/GO_0032991,NCBITaxon:131567,cellular organisms
GO:0030175,filopodium,http://purl.obolibrary.org/obo/GO_0030175,NCBITaxon:131567,cellular organisms
