id,label,iri,taxon_id,taxon_label
MONDO:0019181,non-syndromic X-linked intellectual disability,http://purl.obolibrary.org/obo/MONDO_0019181,,
MONDO:0005473,temporomandibular joint disorder,http://purl.obolibrary.org/obo/MONDO_0005473,,
MONDO:0010679,Duchenne muscular dystrophy,http://purl.obolibrary.org/obo/MONDO_0010679,,
MONDO:0005263,unipolar depression,http://purl.obolibrary.org/obo/MONDO_0005263,,
MONDO:0010311,Becker muscular dystrophy,http://purl.obolibrary.org/obo/MONDO_0010311,,
MONDO:0016333,familial dilated cardiomyopathy,http://purl.obolibrary.org/obo/MONDO_0016333,,
MONDO:0015470,Familial isolated dilated cardiomyopathy,http://purl.obolibrary.org/obo/MONDO_0015470,,
MONDO:0016097,symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers,http://purl.obolibrary.org/obo/MONDO_0016097,,
MONDO:0004989,breast carcinoma,http://purl.obolibrary.org/obo/MONDO_0004989,,
MONDO:0005084,mental disorder,http://purl.obolibrary.org/obo/MONDO_0005084,,
MONDO:0006513,estrogen-receptor negative breast cancer,http://purl.obolibrary.org/obo/MONDO_0006513,,
MONDO:0010542,dilated cardiomyopathy 3B,http://purl.obolibrary.org/obo/MONDO_0010542,,
