id,label,iri,taxon_id,taxon_label
HGNC:12011,TPM2,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12011,NCBITaxon:9606,Homo sapiens
HGNC:399,ALB (human),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:399,NCBITaxon:9606,Homo sapiens
HGNC:11138,SNCA,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11138,NCBITaxon:9606,Homo sapiens
HGNC:2666,DAG1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2666,NCBITaxon:9606,Homo sapiens
HGNC:25770,WDR54,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25770,NCBITaxon:9606,Homo sapiens
HGNC:11728,TERF1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11728,NCBITaxon:9606,Homo sapiens
HGNC:1736,CDC42,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1736,NCBITaxon:9606,Homo sapiens
HGNC:10808,SGCE,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10808,NCBITaxon:9606,Homo sapiens
HGNC:21616,TNS3,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21616,NCBITaxon:9606,Homo sapiens
HGNC:6484,LAMA4,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6484,NCBITaxon:9606,Homo sapiens
HGNC:7612,MYOG,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7612,NCBITaxon:9606,Homo sapiens
HGNC:2888,DISC1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2888,NCBITaxon:9606,Homo sapiens
HGNC:165,ACTN3,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:165,NCBITaxon:9606,Homo sapiens
HGNC:7551,MYBPC3,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7551,NCBITaxon:9606,Homo sapiens
HGNC:11322,SSPN,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11322,NCBITaxon:9606,Homo sapiens
HGNC:10886,SIRT2,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10886,NCBITaxon:9606,Homo sapiens
HGNC:1950,CHRM1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1950,NCBITaxon:9606,Homo sapiens
HGNC:9611,PTK2,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9611,NCBITaxon:9606,Homo sapiens
HGNC:13740,SNTG1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13740,NCBITaxon:9606,Homo sapiens
ENSEMBL:ENSG00000235749,ENSEMBL:ENSG00000235749,http://ensembl.org/id/ENSG00000235749,OBI:0100026,organism
HGNC:6483,LAMA3,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6483,NCBITaxon:9606,Homo sapiens
ENSEMBL:ENSG00000259647,ENSEMBL:ENSG00000259647,http://ensembl.org/id/ENSG00000259647,OBI:0100026,organism
HGNC:3057,DTNA,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3057,NCBITaxon:9606,Homo sapiens
HGNC:7549,MYBPC1,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7549,NCBITaxon:9606,Homo sapiens
HGNC:16398,OSBPL1A,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16398,NCBITaxon:9606,Homo sapiens
HGNC:11949,TNNT2,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11949,NCBITaxon:9606,Homo sapiens
HGNC:21152,LONRF3,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21152,NCBITaxon:9606,Homo sapiens
HGNC:347,AHNAK,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:347,NCBITaxon:9606,Homo sapiens
HGNC:12665,VCL,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12665,NCBITaxon:9606,Homo sapiens
HGNC:4273,GIT2,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4273,NCBITaxon:9606,Homo sapiens
