id,label,iri,taxon_id,taxon_label
HP:0003560,Muscular dystrophy,http://purl.obolibrary.org/obo/HP_0003560,,
HP:0002465,Poor speech,http://purl.obolibrary.org/obo/HP_0002465,,
HP:0003115,Abnormal EKG,http://purl.obolibrary.org/obo/HP_0003115,,
HP:0011675,Arrhythmia,http://purl.obolibrary.org/obo/HP_0011675,,
HP:0000179,Thick lower lip vermilion,http://purl.obolibrary.org/obo/HP_0000179,,
HP:0005824,Clinodactyly of the 2nd toe,http://purl.obolibrary.org/obo/HP_0005824,,
HP:0001328,Specific learning disability,http://purl.obolibrary.org/obo/HP_0001328,,
HP:0002187,"Intellectual disability, profound",http://purl.obolibrary.org/obo/HP_0002187,,
HP:0001265,Hyporeflexia,http://purl.obolibrary.org/obo/HP_0001265,,
HP:0001644,Dilated cardiomyopathy,http://purl.obolibrary.org/obo/HP_0001644,,
HP:0000750,Delayed speech and language development,http://purl.obolibrary.org/obo/HP_0000750,,
HP:0001763,Pes planus,http://purl.obolibrary.org/obo/HP_0001763,,
HP:0000020,Urinary incontinence,http://purl.obolibrary.org/obo/HP_0000020,,
HP:0003394,Muscle spasm,http://purl.obolibrary.org/obo/HP_0003394,,
HP:0000629,Periorbital fullness,http://purl.obolibrary.org/obo/HP_0000629,,
HP:0000982,Palmoplantar keratoderma,http://purl.obolibrary.org/obo/HP_0000982,,
HP:0001270,Motor delay,http://purl.obolibrary.org/obo/HP_0001270,,
HP:0002814,Abnormality of the lower limb,http://purl.obolibrary.org/obo/HP_0002814,,
HP:0012086,Abnormal urinary color,http://purl.obolibrary.org/obo/HP_0012086,,
EFO:1001488,influenza A (H1N1),http://www.ebi.ac.uk/efo/EFO_1001488,,
HP:0003487,Babinski sign,http://purl.obolibrary.org/obo/HP_0003487,,
HP:0000494,Downslanted palpebral fissures,http://purl.obolibrary.org/obo/HP_0000494,,
HP:0001256,"Intellectual disability, mild",http://purl.obolibrary.org/obo/HP_0001256,,
HP:0000684,Delayed eruption of teeth,http://purl.obolibrary.org/obo/HP_0000684,,
HP:0002910,Elevated hepatic transaminase,http://purl.obolibrary.org/obo/HP_0002910,,
HP:0010628,Facial palsy,http://purl.obolibrary.org/obo/HP_0010628,,
HP:0000455,Broad nasal tip,http://purl.obolibrary.org/obo/HP_0000455,,
HP:0004691,2-3 toe syndactyly,http://purl.obolibrary.org/obo/HP_0004691,,
HP:0000219,Thin upper lip vermilion,http://purl.obolibrary.org/obo/HP_0000219,,
HP:0002515,Waddling gait,http://purl.obolibrary.org/obo/HP_0002515,,
HP:0002093,Respiratory insufficiency,http://purl.obolibrary.org/obo/HP_0002093,,
HP:0003457,EMG abnormality,http://purl.obolibrary.org/obo/HP_0003457,,
HP:0001250,Seizure,http://purl.obolibrary.org/obo/HP_0001250,,
HP:0001513,Obesity,http://purl.obolibrary.org/obo/HP_0001513,,
HP:0003202,Skeletal muscle atrophy,http://purl.obolibrary.org/obo/HP_0003202,,
HP:0001638,Cardiomyopathy,http://purl.obolibrary.org/obo/HP_0001638,,
HP:0008587,Mild neurosensory hearing impairment,http://purl.obolibrary.org/obo/HP_0008587,,
HP:0002307,Drooling,http://purl.obolibrary.org/obo/HP_0002307,,
HP:0001518,Small for gestational age,http://purl.obolibrary.org/obo/HP_0001518,,
HP:0008981,Calf muscle hypertrophy,http://purl.obolibrary.org/obo/HP_0008981,,
HP:0002021,Pyloric stenosis,http://purl.obolibrary.org/obo/HP_0002021,,
EFO:0006321,antidepressant-induced dizziness,http://www.ebi.ac.uk/efo/EFO_0006321,,
EFO:0006329,response to citalopram,http://www.ebi.ac.uk/efo/EFO_0006329,,
HP:0008504,Moderate sensorineural hearing impairment,http://purl.obolibrary.org/obo/HP_0008504,,
EFO:0008378,mosquito bite reaction size measurement,http://www.ebi.ac.uk/efo/EFO_0008378,,
HP:0000343,Long philtrum,http://purl.obolibrary.org/obo/HP_0000343,,
HP:0001324,Muscle weakness,http://purl.obolibrary.org/obo/HP_0001324,,
HP:0001290,Generalized hypotonia,http://purl.obolibrary.org/obo/HP_0001290,,
HP:0040083,Toe walking,http://purl.obolibrary.org/obo/HP_0040083,,
