id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
DC0,4483.0,,,DRUG,,,HP:0030357,,,,,,CustomRO:DC,is substance that treats,
DC1,4225.0,,,DRUG,,,HP:0005584,,,,,,CustomRO:DC,is substance that treats,
DC2,5431.0,,,DRUG,,,HP:0012125,,,,,,CustomRO:DC,is substance that treats,
DC3,789.0,,,DRUG,,,HP:0002487,,,,,,CustomRO:DC,is substance that treats,
DC4,661.0,,,DRUG,,,HP:0002487,,,,,,CustomRO:DC,is substance that treats,
DC5,749.0,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC6,183.0,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC7,461.0,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC8,2745.0,,,DRUG,,,HP:0001332,,,,,,CustomRO:DC,is substance that treats,
DC9,2745.0,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC10,2774.0,,,DRUG,,,HP:0011499,,,,,,CustomRO:DC,is substance that treats,
DC11,1150.0,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC12,1947.0,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC13,1576.0,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC14,1576.0,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC15,522.0,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC16,832.0,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC17,4099.0,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC18,2396.0,,,DRUG,,,HP:0002487,,,,,,CustomRO:DC,is substance that treats,
DC19,4119.0,,,DRUG,,,HP:0005584,,,,,,CustomRO:DC,is substance that treats,
DC20,926.0,,,DRUG,,,HP:0004308,,,,,,CustomRO:DC,is substance that treats,
DC21,926.0,,,DRUG,,,HP:0000020,,,,,,CustomRO:DC,is substance that treats,
DC22,5345.0,,,DRUG,,,HP:0003006,,,,,,CustomRO:DC,is substance that treats,
DC23,4157.0,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC24,1942.0,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC25,901.0,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC26,231.0,,,DRUG,,,HP:0011675,,,,,,CustomRO:DC,is substance that treats,
DC27,1797.0,,,DRUG,,,HP:0012174,,,,,,CustomRO:DC,is substance that treats,
DC28,522.0,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC29,313.0,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC30,1142.0,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
