id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
TTD0,91,adenosine triphosphate,,DRUG,,,HGNC:5241,,,,,,CustomRO:TTD,targets,
TTD1,91,adenosine triphosphate,,DRUG,,,HGNC:5232,,,,,,CustomRO:TTD,targets,
TTD2,186,amodiaquine,,DRUG,,,HGNC:620,,,,,,CustomRO:TTD,targets,
TTD3,220,anileridine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD4,231,aprindine,,DRUG,,,HGNC:1442,,,,,,CustomRO:TTD,targets,
TTD5,454,butorphanol,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD6,511,carmofur,,DRUG,,,HGNC:6877,,,,,,CustomRO:TTD,targets,
TTD7,522,carvedilol,,DRUG,,,HGNC:620,,,,,,CustomRO:TTD,targets,
TTD8,654,cinnarizine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD9,725,codeine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD10,774,dactinomycin,,DRUG,,,HGNC:4566,,,,,,CustomRO:TTD,targets,
TTD11,774,dactinomycin,,DRUG,,,MGI:95805,,,,,,CustomRO:TTD,targets,
TTD12,844,dextropropoxyphene,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD13,846,dextrothyroxine,,DRUG,,,RGD:2736,,,,,,CustomRO:TTD,targets,
TTD14,847,dezocine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD15,849,diacerein,,DRUG,,,HGNC:1504,,,,,,CustomRO:TTD,targets,
TTD16,878,difenoxin,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD17,885,alpha-Ergocryptine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD18,886,dihydrocodeine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD19,887,dihydroergocristine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD20,918,diphenoxylate,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD21,939,docetaxel,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD22,939,docetaxel,,DRUG,,,HGNC:20778,,,,,,CustomRO:TTD,targets,
TTD23,945,domperidone,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD24,945,domperidone,,DRUG,,,HGNC:1442,,,,,,CustomRO:TTD,targets,
TTD25,1118,everolimus,,DRUG,,,HGNC:3942,,,,,,CustomRO:TTD,targets,
TTD26,1140,felbamate,,DRUG,,,HGNC:4586,,,,,,CustomRO:TTD,targets,
TTD27,1239,formoterol,,DRUG,,,HGNC:5253,,,,,,CustomRO:TTD,targets,
TTD28,1319,glycine,,DRUG,,,RGD:2736,,,,,,CustomRO:TTD,targets,
TTD30,1386,hydrocodone,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD31,1393,hydromorphone,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD32,1517,ixabepilone,,DRUG,,,HGNC:20778,,,,,,CustomRO:TTD,targets,
TTD33,1526,ketobemidone,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD34,1547,lansoprazole,,DRUG,,,HGNC:3594,,,,,,CustomRO:TTD,targets,
TTD35,1548,lapatinib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD36,1548,lapatinib,,DRUG,,,RGD:619717,,,,,,CustomRO:TTD,targets,
TTD37,1571,levomethadyl acetate,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD38,1599,loperamide,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD39,1599,loperamide,,DRUG,,,HGNC:1442,,,,,,CustomRO:TTD,targets,
TTD40,1599,loperamide,,DRUG,,,HGNC:4586,,,,,,CustomRO:TTD,targets,
TTD41,1599,loperamide,,DRUG,,,RGD:3234,,,,,,CustomRO:TTD,targets,
TTD42,1679,memantine,,DRUG,,,HGNC:4584,,,,,,CustomRO:TTD,targets,
TTD45,1706,meptazinol,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD46,1728,methadone,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD47,1729,acetylmethadol,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD48,1803,midodrine,,DRUG,,,HGNC:5253,,,,,,CustomRO:TTD,targets,
TTD49,1810,miltefosine,,DRUG,,,HGNC:391,,,,,,CustomRO:TTD,targets,
TTD50,1836,montelukast,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD51,1874,nalbuphine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD52,1980,octreotide,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD53,1990,omeprazole,,DRUG,,,HGNC:3594,,,,,,CustomRO:TTD,targets,
TTD54,1992,ondansetron,,DRUG,,,RGD:3234,,,,,,CustomRO:TTD,targets,
TTD55,2054,pantoprazole,,DRUG,,,HGNC:3594,,,,,,CustomRO:TTD,targets,
TTD56,2080,penfluridol,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD57,2106,perhexiline,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
