Symptom,Candidates
HP:0011675,"['1576', '231', '1066']"
HP:0002515,"['5359', '606', '5345']"
HP:0003236,"['1576', '231', '1066']"
HP:0002093,"['5252', '5359', '5459']"
HP:0003707,"['5359', '606', '1066']"
HP:0001256,"['5359', '606', '5345']"
HP:0003701,"['1576', '5359', '2835']"
HP:0003202,"['5359', '1576', '5252']"
HP:0003560,"['1066', '2767', '2666']"
HP:0003391,"['5359', '606', '5345']"
HP:0001635,"['1576', '231', '1066']"
HP:0001328,"['5359', '606', '5345']"
HP:0003323,"['1576', '1066', '231']"
HP:0001371,"['5359', '606', '5345']"
HP:0002650,"['5359', '5252', '606']"
HP:0003115,"['1066', '1576', '5182']"
HP:0001263,"['5252', '5459', '606']"
HP:0008981,"['5359', '1576', '2835']"
HP:0001638,"['1576', '1066', '2767']"
HP:0003307,"['1576', '5359', '606']"
HP:0000750,"['5252', '5459', '5359']"
HP:0001265,"['5359', '606', '1576']"
HP:0001644,"['1576', '5359', '269']"
HP:0001270,"['5252', '5359', '606']"
HP:0001290,"['5252', '5459', '606']"
HP:0100543,"['5359', '5459', '606']"
HP:0002791,"['5359', '5182', '5408']"
