Symptom,Candidates
HP:0011675,"['1576', '626', '305']"
HP:0002515,"['2835', '522', '4818']"
HP:0003236,"['2835', '522', '1576']"
HP:0002093,"['2835', '522', '4818']"
HP:0003707,"['2835', '305', '522']"
HP:0001256,"['2835', '522', '4818']"
HP:0003701,"['2835', '522', '4818']"
HP:0003202,"['2835', '522', '4818']"
HP:0003560,"['626', '2835', '522']"
HP:0003391,"['2835', '522', '4818']"
HP:0001635,"['1576', '606', '2666']"
HP:0001328,"['2835', '522', '4818']"
HP:0003323,"['626', '2835', '1576']"
HP:0001371,"['2835', '522', '4818']"
HP:0002650,"['2835', '522', '4818']"
HP:0003115,"['1576', '305', '5408']"
HP:0001263,"['2835', '522', '4818']"
HP:0008981,"['2835', '522', '4818']"
HP:0001638,"['1576', '626', '2835']"
HP:0003307,"['2835', '522', '4818']"
HP:0000750,"['2835', '522', '4818']"
HP:0001265,"['2835', '522', '4818']"
HP:0001644,"['2835', '1576', '522']"
HP:0001270,"['2835', '522', '4818']"
HP:0001290,"['2835', '522', '4818']"
HP:0100543,"['2835', '522', '4818']"
HP:0002791,"['305', '2835', '5408']"
