Symptom,Candidates
HP:0003707,"['5359', '2612', '4190']"
HP:0003236,"['231', '1795', '4483']"
HP:0001256,"['4483', '1795', '5359']"
HP:0001265,"['1795', '4483', '5359']"
HP:0001290,"['1795', '269', '332']"
HP:0003307,"['1795', '269', '1576']"
HP:0003202,"['4483', '269', '1795']"
HP:0001263,"['269', '2173', '332']"
HP:0002791,"['332', '305', '2173']"
HP:0001371,"['1795', '269', '1576']"
HP:0003701,"['269', '1795', '1576']"
HP:0001270,"['269', '1795', '4483']"
HP:0003560,"['231', '2774', '2745']"
HP:0008981,"['1795', '231', '1576']"
HP:0002650,"['1795', '269', '2612']"
HP:0001638,"['2966', '5359', '1906']"
HP:0003323,"['1576', '522', '1795']"
HP:0001635,"['1576', '522', '1795']"
HP:0000750,"['2173', '332', '1795']"
HP:0003115,"['231', '2966', '1906']"
HP:0011675,"['1576', '231', '522']"
HP:0003391,"['269', '231', '1795']"
HP:0002093,"['1795', '269', '1576']"
HP:0100543,"['5359', '4682', '1795']"
HP:0001644,"['1576', '231', '1795']"
HP:0002515,"['269', '1795', '4483']"
HP:0001328,"['2612', '5359', '626']"
