Symptom,Candidates
HP:0003707,"['5359', '5231', '5347']"
HP:0003236,"['700', '1576', '5231']"
HP:0001256,"['4903', '4225', '4190']"
HP:0001265,"['1576', '812', '522']"
HP:0001290,"['2745', '700', '690']"
HP:0003307,"['65', '1576', '522']"
HP:0003202,"['1576', '5231', '522']"
HP:0001263,"['2745', '1576', '65']"
HP:0002791,"['2745', '1576', '1511']"
HP:0001371,"['522', '1576', '812']"
HP:0003701,"['1576', '522', '812']"
HP:0001270,"['812', '5231', '1576']"
HP:0003560,"['5231', '2544', '3514']"
HP:0008981,"['1576', '2459', '65']"
HP:0002650,"['1576', '522', '2745']"
HP:0001638,"['1576', '5231', '65']"
HP:0003323,"['1150', '700', '832']"
HP:0001635,"['1576', '522', '2745']"
HP:0000750,"['1576', '812', '2745']"
HP:0003115,"['1920', '5347', '3533']"
HP:0011675,"['5231', '2544', '1576']"
HP:0003391,"['1576', '2745', '5231']"
HP:0002093,"['1576', '812', '926']"
HP:0100543,"['522', '1576', '700']"
HP:0001644,"['1576', '522', '5231']"
HP:0002515,"['65', '4716', '812']"
HP:0001328,"['1576', '522', '4190']"
