Symptom,Symptom ID,Drug Candidate,Score
Calf muscle pseudohypertrophy,HP:0003707,brilliant Blue G,0.9973398
Calf muscle pseudohypertrophy,HP:0003707,sapropterin,0.9854292
Calf muscle pseudohypertrophy,HP:0003707,ruxolitinib,0.98520654
Elevated serum creatine kinase,HP:0003236,aprindine,0.9941719
Elevated serum creatine kinase,HP:0003236,mezlocillin,0.9910323
Elevated serum creatine kinase,HP:0003236,carfilzomib,0.97515374
"Intellectual disability, mild",HP:0001256,carfilzomib,0.9997881
"Intellectual disability, mild",HP:0001256,mezlocillin,0.99978477
"Intellectual disability, mild",HP:0001256,brilliant Blue G,0.998762
Hyporeflexia,HP:0001265,mezlocillin,0.9998184
Hyporeflexia,HP:0001265,carfilzomib,0.9997459
Hyporeflexia,HP:0001265,brilliant Blue G,0.999699
Generalized hypotonia,HP:0001290,mezlocillin,0.99999964
Generalized hypotonia,HP:0001290,azathioprine,0.99999833
Generalized hypotonia,HP:0001290,benzthiazide,0.9999881
Hyperlordosis,HP:0003307,mezlocillin,0.9998752
Hyperlordosis,HP:0003307,azathioprine,0.99961793
Hyperlordosis,HP:0003307,levosimendan,0.99930704
Skeletal muscle atrophy,HP:0003202,carfilzomib,0.9995326
Skeletal muscle atrophy,HP:0003202,azathioprine,0.9990621
Skeletal muscle atrophy,HP:0003202,mezlocillin,0.99877805
Global developmental delay,HP:0001263,azathioprine,0.999944
Global developmental delay,HP:0001263,pinacidil,0.99991155
Global developmental delay,HP:0001263,benzthiazide,0.9999093
Hypoventilation,HP:0002791,benzthiazide,0.99944085
Hypoventilation,HP:0002791,bendroflumethiazide,0.9993851
Hypoventilation,HP:0002791,pinacidil,0.9992429
Flexion contracture,HP:0001371,mezlocillin,0.9999658
Flexion contracture,HP:0001371,azathioprine,0.99993134
Flexion contracture,HP:0001371,levosimendan,0.99980205
Proximal muscle weakness,HP:0003701,azathioprine,0.99999
Proximal muscle weakness,HP:0003701,mezlocillin,0.9999862
Proximal muscle weakness,HP:0003701,levosimendan,0.99995303
Motor delay,HP:0001270,azathioprine,0.9999963
Motor delay,HP:0001270,mezlocillin,0.9999496
Motor delay,HP:0001270,carfilzomib,0.9998841
Muscular dystrophy,HP:0003560,aprindine,0.903381
Muscular dystrophy,HP:0003560,tropicamide,0.89274377
Muscular dystrophy,HP:0003560,trihexyphenidyl,0.87888193
Calf muscle hypertrophy,HP:0008981,mezlocillin,0.9998989
Calf muscle hypertrophy,HP:0008981,aprindine,0.99937636
Calf muscle hypertrophy,HP:0008981,levosimendan,0.99936575
Scoliosis,HP:0002650,mezlocillin,0.999998
Scoliosis,HP:0002650,azathioprine,0.9999876
Scoliosis,HP:0002650,sapropterin,0.99979895
Cardiomyopathy,HP:0001638,suramin,0.9877186
Cardiomyopathy,HP:0001638,brilliant Blue G,0.9868063
Cardiomyopathy,HP:0001638,nicotinamide,0.98675805
Progressive muscle weakness,HP:0003323,levosimendan,0.99737024
Progressive muscle weakness,HP:0003323,carvedilol,0.9956806
Progressive muscle weakness,HP:0003323,mezlocillin,0.98877907
Congestive heart failure,HP:0001635,levosimendan,0.9999995
Congestive heart failure,HP:0001635,carvedilol,0.9999901
Congestive heart failure,HP:0001635,mezlocillin,0.9999418
Delayed speech and language development,HP:0000750,pinacidil,0.9989967
Delayed speech and language development,HP:0000750,benzthiazide,0.998487
Delayed speech and language development,HP:0000750,mezlocillin,0.9983064
Abnormal EKG,HP:0003115,aprindine,0.998447
Abnormal EKG,HP:0003115,suramin,0.99664307
Abnormal EKG,HP:0003115,nicotinamide,0.99615943
Arrhythmia,HP:0011675,levosimendan,0.9999503
Arrhythmia,HP:0011675,aprindine,0.999915
Arrhythmia,HP:0011675,carvedilol,0.9996031
Gowers sign,HP:0003391,azathioprine,0.99971336
Gowers sign,HP:0003391,aprindine,0.99946517
Gowers sign,HP:0003391,mezlocillin,0.9991285
Respiratory insufficiency,HP:0002093,mezlocillin,0.9999982
Respiratory insufficiency,HP:0002093,azathioprine,0.9997675
Respiratory insufficiency,HP:0002093,levosimendan,0.99975735
Cognitive impairment,HP:0100543,brilliant Blue G,0.9999082
Cognitive impairment,HP:0100543,panobinostat,0.9998017
Cognitive impairment,HP:0100543,mezlocillin,0.9993648
Dilated cardiomyopathy,HP:0001644,levosimendan,0.99991286
Dilated cardiomyopathy,HP:0001644,aprindine,0.9998381
Dilated cardiomyopathy,HP:0001644,mezlocillin,0.9976179
Waddling gait,HP:0002515,azathioprine,0.9999466
Waddling gait,HP:0002515,mezlocillin,0.9999418
Waddling gait,HP:0002515,carfilzomib,0.99896085
Specific learning disability,HP:0001328,sapropterin,0.9995566
Specific learning disability,HP:0001328,brilliant Blue G,0.9991322
Specific learning disability,HP:0001328,chlorzoxazone,0.9982158
