subject,relation,object
gene,causes condition,disease
gene,colocalizes with,gene
gene,contributes to condition,disease
variant,contributes to condition,disease
variant,contributes to condition,phenotype
gene,contributes to condition,phenotype
model,enables,molecular function
gene,enables,molecular function
gene,expressed in,anatomical entity
variant,has affected feature,gene
model,has genotype,genotype
model,has genotype,variant
disease,has phenotype,phenotype
model,has phenotype,phenotype
variant,has phenotype,phenotype
genotype,has phenotype,disease
variant,has phenotype,disease
genotype,has phenotype,phenotype
gene,has phenotype,phenotype
genotype,has role in modeling,disease
model,has role in modeling,disease
gene,has role in modeling,disease
variant,has role in modeling,disease
model,in 1 to 1 orthology relationship with,gene
gene,in 1 to 1 orthology relationship with,model
gene,in 1 to 1 orthology relationship with,gene
gene,in orthology relationship with,gene
gene,interacts with,model
gene,interacts with,gene
model,interacts with,gene
gene,involved in,biological process
disease,involved in,pathway
disease,involved in,biological process
gene,involved in,pathway
variant,is allele of,gene
gene,is causal germline mutation in,disease
gene,is causal germline mutation partially giving rise to,disease
gene,is part of,cellular component
model,is part of,cellular component
drug,is substance that treats,phenotype
variant,likely pathogenic for condition,disease
variant,nan,genotype
model,nan,gene
variant,nan,model
chemical,nan,disease
genotype,nan,gene
variant,pathogenic for condition,disease
drug,targets,gene
