id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
1add2f7d7ad4e4b4ad150426bb6f420f,P04406,Glyceraldehyde-3-phosphate dehydrogenase liver,,gene product,,,HGNC:4141,,,,,,CustomRO:TTD1,is product of,
541e9c2cb2336e64479ca8c3c524d3a9,90,adenosine,,drug,,,P04406,Glyceraldehyde-3-phosphate dehydrogenase liver,,gene product,,,CustomRO:TTD2,targets,
86da7966f889e33b1b32f878f60a0edd,P11142,Heat shock cognate 71 kDa protein,,gene product,,,HGNC:5241,,,,,,CustomRO:TTD1,is product of,
5d172bd42663c4b69dd1be3cc5e27f81,91,adenosine triphosphate,,drug,,,P11142,Heat shock cognate 71 kDa protein,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
11f4c30f8e7ef08366816065b2a49b37,186,amodiaquine,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
2f7f3e45aa1d8a1cd5ee808bda4b97dd,249,astemizole,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
28620fc6d4f6b14784c0f86fe2e43be5,281,bacitracin,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
e87d084cb827c7960c4c1f1ba02152a1,P10619,Lysosomal protective protein,,gene product,,,HGNC:9251,,,,,,CustomRO:TTD1,is product of,
fba44fef57e02d9ec40391c361eafd38,391,bortezomib,,drug,,,P10619,Lysosomal protective protein,,gene product,,,CustomRO:TTD2,targets,
9850a2b7520678578bde1580c09c4c5c,P20618,Proteasome subunit beta type-1,,gene product,,,HGNC:9537,,,,,,CustomRO:TTD1,is product of,
8cef1a74ba678597bf81f390aa6c6999,391,bortezomib,,drug,,,P20618,Proteasome subunit beta type-1,,gene product,,,CustomRO:TTD2,targets,
ded45e74da1cd1a3169dbfd6a454e7d5,P49721,Proteasome subunit beta type-2,,gene product,,,HGNC:9539,,,,,,CustomRO:TTD1,is product of,
b03ec56765d0b34c2d5c3e1f9df96faa,391,bortezomib,,drug,,,P49721,Proteasome subunit beta type-2,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
baafeb10207b1a94ddcd03124bbc0773,475,candesartan cilexetil,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
930a6ee9817827b8c752fedb74ed5b88,522,carvedilol,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
9796ad81f334807c605694a2b67f91aa,607,chloroquine,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
4c951d7234cfff972818a7a49fbed217,621,chlorpromazine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
fcc3106fe0af5807c81d00e3e8df0dad,629,cianidanol,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
417c149833f8ae2b310570e7fb8e8b5b,681,clioquinol,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
eccc3357466d74606f8b9acbfbd1a40f,700,clomifene,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
ad002a13bfb473d72acff25817786e3a,719,clotrimazole,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
43d1d4dc41a95c70354e803634ff4e9b,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,HGNC:4586,,,,,,CustomRO:TTD1,is product of,
3af1e13db1cf9f5e2843e17acaa4cbb4,759,cycloserine,,drug,,,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,CustomRO:TTD2,targets,
0337e5105d2c5609d9fc026dbb445dfe,P62993,Growth factor receptor-bound protein 2,,gene product,,,HGNC:4566,,,,,,CustomRO:TTD1,is product of,
fa1a86b52da45a69762fbc54c76219b2,774,dactinomycin,,drug,,,P62993,Growth factor receptor-bound protein 2,,gene product,,,CustomRO:TTD2,targets,
12867d36709fcb6ae10e71b0f442fe8e,Q60631,Growth factor receptor-bound protein 2,,gene product,,,MGI:95805,,,,,,CustomRO:TTD1,is product of,
1823dcfa8c94d1f298ec00d379b1a6f4,774,dactinomycin,,drug,,,Q60631,Growth factor receptor-bound protein 2,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
258f8c26197a254a3bf498fd6b9b08c2,785,dasatinib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
081b987bf294c6d3f8e2805e87be4afa,Q9UBE8,Serine/threonine-protein kinase NLK,,gene product,,,HGNC:29858,,,,,,CustomRO:TTD1,is product of,
6af139f76ef5372c03e309e8032a3a64,785,dasatinib,,drug,,,Q9UBE8,Serine/threonine-protein kinase NLK,,gene product,,,CustomRO:TTD2,targets,
2620eb7dbaf2a69d634c1c42c95f8c43,P42574,Caspase-3,,gene product,,,HGNC:1504,,,,,,CustomRO:TTD1,is product of,
7eb06c82442bb7822cb9582895e2ff0f,849,diacerein,,drug,,,P42574,Caspase-3,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
360f8e98d813299ccee529335dd35b21,937,dobutamine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
e33d805237380afea2e4988bdfeaca9a,939,docetaxel,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
5d89ceb7601e6b2aa8daf0e6cce26811,977,ebastine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
6c3752913d5d18a0ecb004ec9825ad11,983,econazole,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
05eb8cf497a128a4896718f93e8e8dd8,987,edetic acid,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
36aea579c7eca66888951d1578bbe9fd,1045,erlotinib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
43d1d4dc41a95c70354e803634ff4e9b,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,HGNC:4586,,,,,,CustomRO:TTD1,is product of,
520a2d9d7218d377040ae659c5ab8519,1140,felbamate,,drug,,,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
780b41e3d0358e1e87536682fbea4144,1164,fentanyl,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
61dd7738aa0f09fb24a8298a0ddf016b,1212,fluphenazine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
7e18ee6e4280cb3b1e1fa7d4dcd177b7,1282,gefitinib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
