id,subject,object,relation_id,relation_label,relation_iri
75ae5663386e937e816becaa62a8f2cc,SGD:S000001065,ZFIN:ZDB-GENE-020604-1,RO:HOM0000017,in orthology relationship with,
afd1629dbd17e384152dedc876dddf26,MGI:96892,MP:0008479,RO:0002200,has phenotype,
88e32f89d894a713844f1aff91b21b99,FlyBase:FBgn0260934,ENSEMBL:ENSOANG00000036135,RO:HOM0000017,in orthology relationship with,
fcfd49e8b3a4dbc7e0a1744749c3eb1f,Xenbase:XB-GENE-944511,Xenbase:XB-GENE-5813243,RO:0002434,interacts with,
c8668545df17f080829c934cbc25a3cc,ENSEMBL:ENSCAFG00000002618,WormBase:WBGene00006764,RO:HOM0000017,in orthology relationship with,
52f5a539a2d77c74bc09bb1c2c4d8db7,ZFIN:ZDB-GENE-070424-83,WormBase:WBGene00000542,RO:HOM0000017,in orthology relationship with,
ac2189d94c48ccf8c9250c693823ff5e,ENSEMBL:ENSMODG00000003026,ENSEMBL:ENSGALG00000012783,RO:HOM0000020,in 1 to 1 orthology relationship with,
897dc34e3a5bee7d353f8dbba871e9f2,ZFIN:ZDB-GENE-000329-1,ENSEMBL:ENSCAFG00000016020,RO:HOM0000017,in orthology relationship with,
790f12ac752a4c28e45631a857a8162b,ENSEMBL:ENSGALG00000003261,ENSEMBL:ENSSSCG00000035446,RO:HOM0000020,in 1 to 1 orthology relationship with,
a1d2fb107cc6b603c2e4c3fcd7294b1f,ENSEMBL:ENSMMUG00000002668,ENSEMBL:ENSGALG00000039755,RO:HOM0000020,in 1 to 1 orthology relationship with,
d89ce1054fee6c3055d245cd2e21dc82,WormBase:WBGene00003916,WBPhenotype:0000483,RO:0002200,has phenotype,
f9d579937153781dd799500a1f600cd2,dictyBase:DDB_G0280133,HGNC:3332,RO:HOM0000017,in orthology relationship with,
c50664dfc55729b6f40d5b198002e521,HGNC:12665,HGNC:163,RO:0002434,interacts with,
ec290c75ae279d039dcb56431f7b2aba,RGD:62029,ENSEMBL:ENSACAG00000006296,RO:HOM0000017,in orthology relationship with,
eac807268ba904027495b413b25594a3,HGNC:6487,MGI:99916,RO:HOM0000020,in 1 to 1 orthology relationship with,
e9d92a32e867ebfdc757b84d92285197,FlyBase:FBgn0261800,ZFIN:ZDB-GENE-050208-475,RO:HOM0000017,in orthology relationship with,
70d1399934cf6de4da86cf171e9b4fd7,FlyBase:FBgn0003721,ENSEMBL:ENSACAG00000010881,RO:HOM0000017,in orthology relationship with,
2dfccbfad3610c7ce59179aaeb600b42,ENSEMBL:ENSCAFG00000025057,ENSEMBL:ENSSSCG00000015444,RO:HOM0000020,in 1 to 1 orthology relationship with,
784bbaa46e0b17d755a005a6d6a41297,FlyBase:FBgn0250788,FBcv:0000358,RO:0002200,has phenotype,
0d6294ffe3b50a72034cf9ed8f3a1cb8,ENSEMBL:ENSBTAG00000050469,Xenbase:XB-GENE-876451,RO:HOM0000017,in orthology relationship with,
805cbfb047e4a4401936480b62e28eed,MGI:2388820,ENSEMBL:ENSPTRG00000020011,RO:HOM0000020,in 1 to 1 orthology relationship with,
af10b22d27f141fbeb1823fe63671c69,FlyBase:FBgn0250788,ENSEMBL:ENSCAFG00000002744,RO:HOM0000020,in 1 to 1 orthology relationship with,
792b3a6a5d4004958aa7ce0fa75c9a04,ENSEMBL:ENSACAG00000015565,ZFIN:ZDB-GENE-070202-9,RO:HOM0000017,in orthology relationship with,
17104830a3a2efbf15c76ea0669f2157,ENSEMBL:ENSSSCG00000003520,ENSEMBL:ENSCAFG00000017518,RO:HOM0000017,in orthology relationship with,
40eab27faf39c8aeafa07513890ddd79,RGD:3717,MGI:107956,RO:HOM0000020,in 1 to 1 orthology relationship with,
c58c38f0e761e19e5f2db52d481b4e43,HGNC:16059,HGNC:6759,RO:0002434,interacts with,
0d2f36ec67f9c5d8945b00fb08122d45,MGI:101771,MGI:94909,RO:0002434,interacts with,
8cf2c7ddc2393e811c4e9d646a8144d2,ENSEMBL:ENSPTRG00000052824,ENSEMBL:ENSGALG00000004796,RO:HOM0000017,in orthology relationship with,
4e857e5595e43a33a0b04117c489c729,HGNC:971,UBERON:0014892,RO:0002206,expressed in,
e72e933f748bf43c659f9e6441a4851c,ZFIN:ZDB-GENE-120917-2,ZFIN:ZDB-GENE-040625-119,RO:0002434,interacts with,
7fec16a96e583b25afc48d5caf481937,SGD:S000003580,MONARCH:APO_0000110APO_0000003,RO:0002200,has phenotype,
67b042f67f159f41cb69fb6c437b0cc8,Xenbase:XB-GENE-489407,FlyBase:FBgn0050183,RO:HOM0000017,in orthology relationship with,
7827e9562c453004a234fa23215bb522,ZFIN:ZDB-GENE-070705-302,RGD:1309318,RO:HOM0000020,in 1 to 1 orthology relationship with,
46fc43a59baf740e73efb97f28b04da7,WormBase:WBGene00000042,ENSEMBL:ENSMODG00000009414,RO:HOM0000017,in orthology relationship with,
d28b7eaa743a571d6d061aef331afe34,ENSEMBL:ENSGALG00000031741,RGD:3443,RO:HOM0000020,in 1 to 1 orthology relationship with,
7e5f42d1e4ff5fae5bf54df591e01db0,HGNC:9611,EFO:0006335,RO:0003304,contributes to condition,
283a42b3e60a17d7c594c405fdd19311,FlyBase:FBgn0053993,ENSEMBL:ENSMMUG00000000318,RO:HOM0000017,in orthology relationship with,
724422d1bb7fd9731e156cca5522ffff,ENSEMBL:ENSSSCG00000013236,HGNC:7551,RO:HOM0000020,in 1 to 1 orthology relationship with,
b0f85a85a7ba6d2b35cbe1c15425ace3,Xenbase:XB-GENE-6041092,ENSEMBL:ENSMMUG00000005424,RO:HOM0000020,in 1 to 1 orthology relationship with,
7c0310e6e33c521bd853380ff5ec370b,FlyBase:FBgn0250785,FBcv:0000354,RO:0002200,has phenotype,
0dba4c3605c610fc90491b160299ca0e,ENSEMBL:ENSGALG00000016105,HGNC:3097,RO:HOM0000020,in 1 to 1 orthology relationship with,
ac3bf86b5859ba3f17e8609ae7e79790,HGNC:4273,UBERON:0001728,RO:0002206,expressed in,
2a2062e1742a64dc1efa539f5cfcf196,ENSEMBL:ENSPTRG00000005353,ZFIN:ZDB-GENE-041114-196,RO:HOM0000020,in 1 to 1 orthology relationship with,
fc595d857b8c1f7e085883a43200327f,WormBase:WBGene00002348,WBPhenotype:0000059,RO:0002200,has phenotype,
6fc87a5a9c478a2a0d3652cbe0843340,ClinVarVariant:661725,MONDO:0010679,GENO:0000840,pathogenic for condition,
51ef8294fafce43298a2105a8510ca48,ENSEMBL:ENSCAFG00000001960,FlyBase:FBgn0260450,RO:HOM0000017,in orthology relationship with,
741331b0d3f4e2bec03dbde002ff8110,MGI:1856328,HP:0001508,RO:0002200,has phenotype,
40b65d86f7cd2f8de63c08c36e065f56,FlyBase:FBgn0000108,FBcv:0000352,RO:0002200,has phenotype,
2675814f5d16250806bb1e54af33a320,ENSEMBL:ENSECAG00000015901,ZFIN:ZDB-GENE-040426-2326,RO:HOM0000020,in 1 to 1 orthology relationship with,
e1519a62dcccf0f58547ba709d99e089,MGI:2384814,ZFIN:ZDB-GENE-060526-13,RO:HOM0000017,in orthology relationship with,
9cb9091af54da6fae06537e10435543e,FlyBase:FBgn0034005,FlyBase:FBgn0034880,RO:0002434,interacts with,
4d4dabdaf3042bf424a667b6d6ba90ae,ZFIN:ZDB-GENE-060118-1,ZP:0008058,RO:0002200,has phenotype,
11ba58a70852f48368757d92ef0546df,ENSEMBL:ENSCAFG00000005335,ENSEMBL:ENSSSCG00000024781,RO:HOM0000020,in 1 to 1 orthology relationship with,
5a29464b47f233f9470f8e6a45f00ba0,Xenbase:XB-GENE-494931,ZFIN:ZDB-GENE-061027-102,RO:HOM0000017,in orthology relationship with,
44e3da088038816fe9f888dad70116dd,ENSEMBL:ENSPTRG00000048889,WormBase:WBGene00001248,RO:HOM0000020,in 1 to 1 orthology relationship with,
5c585a310c7dff5b0146e158689855ae,SGD:S000001065,ZFIN:ZDB-GENE-000322-5,RO:HOM0000017,in orthology relationship with,
34e89f34037f730f41ec46a1ec56254d,MGI:1355315,MGI:1330233,RO:0002434,interacts with,
bf6aeff366491a038369e53593dd543a,FlyBase:FBgn0036454,ENSEMBL:ENSECAG00000020407,RO:HOM0000017,in orthology relationship with,
4e7e8b44eca3d099bbd3f43d60d6f0c7,ENSEMBL:ENSBTAG00000008946,ENSEMBL:ENSCAFG00000005318,RO:HOM0000020,in 1 to 1 orthology relationship with,
ceb587c54c81a9abcf03e9ac2811cc77,ZFIN:ZDB-GENE-040426-1263,ZP:0000043,RO:0002200,has phenotype,
7281fb81bdf3d049cfe12a2437b80050,MGI:97297,MGI:1891731,RO:0002434,interacts with,
a00b377501d43f6f83ea8e2a59ca02a3,MGI:99892,HP:0007973,RO:0002200,has phenotype,
b0512336c3b56ef207a5cf269cdcea65,HGNC:13249,ENSEMBL:ENSPTRG00000010936,RO:HOM0000020,in 1 to 1 orthology relationship with,
7137ed75da62050354b325a127cc2365,ZFIN:ZDB-GENE-070928-1,ENSEMBL:ENSACAG00000008615,RO:HOM0000020,in 1 to 1 orthology relationship with,
d7e761b064dbc09d9f976b8f57e44027,ENSEMBL:ENSBTAG00000009428,HGNC:4137,RO:HOM0000020,in 1 to 1 orthology relationship with,
e22ca4a4073c8c17358d7960f03a0a66,ENSEMBL:ENSMMUG00000003169,RGD:621151,RO:HOM0000020,in 1 to 1 orthology relationship with,
95a6157fc94631471ca705a08d0b86f3,FlyBase:FBgn0262733,ENSEMBL:ENSFCAG00000006991,RO:HOM0000017,in orthology relationship with,
96d6cd4bc53048a311b8e057c244e85e,MGI:98810,MGI:1355285,RO:0002434,interacts with,
694663d810a23456a55aa063e061d88f,WormBase:WBGene00006589,ENSEMBL:ENSSSCG00000025353,RO:HOM0000017,in orthology relationship with,
0563095fa1ed8352afa0a13db093d2be,RGD:1563703,MGI:2145373,RO:HOM0000020,in 1 to 1 orthology relationship with,
c8b860fb84ad2ca656c285c07b5c8851,WormBase:WBGene00006774,WormBase:WBGene00002975,RO:0002434,interacts with,
31d49ab673e05170b49b6fa0ccf98423,WormBase:WBGene00006797,WormBase:WBGene00002975,RO:0002434,interacts with,
f0a17d325167a4ce82c558a0273b8598,HGNC:9863,HP:0002093,RO:0002200,has phenotype,
bb606015623c6aaa059c39550f79f068,HGNC:12665,GO:0032991,BFO:0000050,is part of,
108416eaa038a3db6c98031b12187151,WormBase:WBGene00002078,Xenbase:XB-GENE-993240,RO:HOM0000020,in 1 to 1 orthology relationship with,
5f9c99f4fddcd1920cb46cc6ce3a1e66,OMIM:300377.0048,HGNC:2928,GENO:0000408,is allele of,
4a7a256785534802815f9c5f34439cb4,MGI:99923,GO:0003779,RO:0002327,enables,
b8cd6d4f1feaf2d49a9567017cc58ac4,MGI:88039,WormBase:WBGene00000156,RO:HOM0000017,in orthology relationship with,
977f5ce3e6586144215e2042453efd5c,ENSEMBL:ENSBTAG00000011803,ENSEMBL:ENSMODG00000047156,RO:HOM0000020,in 1 to 1 orthology relationship with,
b204a48f351160769dc79baaa4244cf9,ZFIN:ZDB-GENE-030131-1055,ENSEMBL:ENSACAG00000027620,RO:HOM0000017,in orthology relationship with,
60142a249a144f287fa2237d1360396c,ENSEMBL:ENSXETG00000039685,ENSEMBL:ENSECAG00000032818,RO:HOM0000017,in orthology relationship with,
416d2c45dd6170a6b2b6ab5af4e61fae,ENSEMBL:ENSBTAG00000048903,RGD:3410,RO:HOM0000020,in 1 to 1 orthology relationship with,
8eba4faac96ee0b416d6c7af9dd08ca7,HGNC:1529,HGNC:6265,RO:0002434,interacts with,
a038d1e3f7bfd4325f4b66746f5f16cf,MGI:88294,ENSEMBL:ENSFCAG00000004605,RO:HOM0000020,in 1 to 1 orthology relationship with,
360d401d8219569772c707ba20f605c5,ENSEMBL:ENSMODG00000038857,ENSEMBL:ENSBTAG00000017367,RO:HOM0000017,in orthology relationship with,
00e969368db7dea03ac19c297e208804,WormBase:WBGene00000228,Xenbase:XB-GENE-494339,RO:HOM0000017,in orthology relationship with,
0847b4029e3418e047f759edcbc661d0,ENSEMBL:ENSOANG00000013754,Xenbase:XB-GENE-5823109,RO:HOM0000020,in 1 to 1 orthology relationship with,
035421ffd169f0876b365d63ca1b2852,ZFIN:ZDB-GENE-991019-4,ZP:0000212,RO:0002200,has phenotype,
6eb85dc82377dc01d02678fd57f59a38,RGD:708483,Xenbase:XB-GENE-876451,RO:HOM0000020,in 1 to 1 orthology relationship with,
9a420d7a1cd08327036923ec68bfb24d,Xenbase:XB-GENE-1004770,Xenbase:XB-GENE-1011014,RO:0002434,interacts with,
91229b69b1c4a57d650c575e96a15ad3,ENSEMBL:ENSSSCG00000005316,RGD:1559479,RO:HOM0000020,in 1 to 1 orthology relationship with,
0d2d7021b47c3e0bb342ea8b3b602195,RGD:2281,Xenbase:XB-GENE-962905,RO:HOM0000020,in 1 to 1 orthology relationship with,
c116690624778d9e94065ae9b960ae6a,ENSEMBL:ENSCAFG00000016051,Xenbase:XB-GENE-991126,RO:HOM0000020,in 1 to 1 orthology relationship with,
65cad95c553f370ab0b21f71f6aeb0a2,SGD:S000000927,APO:0000330,RO:0002200,has phenotype,
4d3a7ba2b5e2aef455305257e446fd27,Xenbase:XB-GENE-5813243,Xenbase:XB-GENE-943307,RO:0002434,interacts with,
67a9a995a0dbd080dfdca9d3f728c5fa,WormBase:WBGene00001116,WormBase:WBGene00017866,RO:0002434,interacts with,
6ba9bb214f16d37263434bab047dc998,HGNC:6717,HP:0000340,RO:0002200,has phenotype,
74c16a8cba8ce7a47585e7a563a6562a,ENSEMBL:ENSOANG00000013307,ZFIN:ZDB-GENE-021223-1,RO:HOM0000020,in 1 to 1 orthology relationship with,
7f8e34e41afc66fa0c83b0529c4314a4,dictyBase:DDB_G0293526,GO:0005856,BFO:0000050,is part of,
402f29f48367e53aa809b47480c2ae48,ENSEMBL:ENSFCAG00000014942,ENSEMBL:ENSCAFG00000018322,RO:HOM0000020,in 1 to 1 orthology relationship with,
2a8e54f4f39abcca59f3c4d764d36420,HGNC:8908,ENSEMBL:ENSFCAG00000008050,RO:HOM0000020,in 1 to 1 orthology relationship with,
2196d126010a1c25461becaecdf89b2b,ENSEMBL:ENSCAFG00000008524,ENSEMBL:ENSOANG00000004792,RO:HOM0000020,in 1 to 1 orthology relationship with,
493817f70db56748aa74ec177ee4e849,HGNC:11610,HGNC:2770,RO:0002434,interacts with,
5aac876c68281a3869fddf365f8d70bc,HGNC:2512,ENSEMBL:ENSMODG00000012562,RO:HOM0000020,in 1 to 1 orthology relationship with,
f1b2dc29ee56621acf3eb1a715fbbab9,HGNC:6717,HP:0002035,RO:0002200,has phenotype,
cb0b688070dcfc1dd332693bfad8ee29,RGD:2927,ENSEMBL:ENSECAG00000022498,RO:HOM0000020,in 1 to 1 orthology relationship with,
57fb393f0ef17de62fc8e015a031b4d1,ZFIN:ZDB-GENE-070705-74,ZFIN:ZDB-GENE-080723-27,RO:0002434,interacts with,
dde9f48ecf3d3d93f1ec9de6facba470,MGI:98387,MP:0020409,RO:0002200,has phenotype,
2b36cb7562a81cfea3ca0778fd41887f,FlyBase:FBgn0085412,RGD:735133,RO:HOM0000017,in orthology relationship with,
5bf6d68f7ded1c10e98385417d8486cd,HGNC:7549,HP:0000218,RO:0002200,has phenotype,
20f24ca80b84750355fac59c153e6085,HGNC:16859,ENSEMBL:ENSPTRG00000001598,RO:HOM0000020,in 1 to 1 orthology relationship with,
d0550d34c7483e8ca860b533ea644dd6,HGNC:2666,HGNC:6492,RO:0002434,interacts with,
ce2cc400a6499a83a0ee64f42f948b76,ZFIN:ZDB-GENE-991019-9,ENSEMBL:ENSFCAG00000005561,RO:HOM0000020,in 1 to 1 orthology relationship with,
a33815c6c6f83c18a6a5d6efc722adb1,PomBase:SPAC6F6.01,ENSEMBL:ENSBTAG00000010026,RO:HOM0000017,in orthology relationship with,
d13699f163138b698adcfaf64c81c2bb,ENSEMBL:ENSACAG00000010598,ZFIN:ZDB-GENE-130530-619,RO:HOM0000017,in orthology relationship with,
8c5ac373d7aedc6f83ed414d2356d688,MGI:96610,MP:0000166,RO:0002200,has phenotype,
f3fc22f043b8d21cd49f3db203d6c5b4,HGNC:15948,EFO:0007985,RO:0003304,contributes to condition,
ab43bd2a93bd295095b72d2188825ccc,MGI:88294,HP:0000973,RO:0002200,has phenotype,
c320300c4faeb0c990f66361e1403227,dictyBase:DDB_G0289511,FlyBase:FBgn0000042,RO:HOM0000017,in orthology relationship with,
2495b8598792ab5ca8c6f922fdb501fc,ENSEMBL:ENSOANG00000046752,HGNC:1736,RO:HOM0000017,in orthology relationship with,
a5ab604681254504d6ebb250942fa8ec,MGI:1857930,HP:0001877,RO:0002200,has phenotype,
625fab076d45ea62e53267567badac44,MGI:1860493,MGI:1920334,RO:0002434,interacts with,
97bf2962009e1c06d0f7ea7f23eafb83,ENSEMBL:ENSOANG00000041983,Xenbase:XB-GENE-5743884,RO:HOM0000017,in orthology relationship with,
190fca9a34e3090f421c173615fc89c4,HGNC:12665,HGNC:8908,RO:0002325,colocalizes with,
55bf2f38b80f1d1e4a21ff3a79893eba,MGI:1914487,HP:0001881,RO:0002200,has phenotype,
e6ef0e431daf6da31fecf4d1a2c92f98,HGNC:493,HP:0001657,RO:0002200,has phenotype,
830f24ff0a3199e51731a68483331e2d,WormBase:WBGene00002247,ENSEMBL:ENSECAG00000008303,RO:HOM0000017,in orthology relationship with,
38e57b787ef2842ae0f23d44e8520d10,WormBase:WBGene00000424,dictyBase:DDB_G0293526,RO:HOM0000017,in orthology relationship with,
5cf505040ee50af0dbf07e1ecd2b1898,ClinVarVariant:832720,MONDO:0010679,GENO:0000840,pathogenic for condition,
49f4914cb1c873d00f01cbc5fe5cf57d,ENSEMBL:ENSMODG00000004481,FlyBase:FBgn0015803,RO:HOM0000017,in orthology relationship with,
c07a8ec5cc8f8c458e1451de30a1b772,ENSEMBL:ENSECAG00000022080,ENSEMBL:ENSGALG00000050119,RO:HOM0000020,in 1 to 1 orthology relationship with,
3b424100eb361aeca4138b8c05b1fc50,MGI:1339984,GO:0005515,RO:0002327,enables,
818c2be6dd829fb9f613c8854712168f,ZFIN:ZDB-GENE-030131-2774,ZFIN:ZDB-GENE-060312-45,RO:0002434,interacts with,
74b0cb93f146e8ceb89d8639ac5b97f9,ZFIN:ZDB-GENE-030113-2,ZP:0003060,RO:0002200,has phenotype,
96073a44391bf60360de777d5235ca1a,ENSEMBL:ENSCAFG00000018177,ENSEMBL:ENSECAG00000006315,RO:HOM0000020,in 1 to 1 orthology relationship with,
44c6f8ba2f1aad1ea73e1086525d412e,ENSEMBL:ENSBTAG00000047856,SGD:S000005473,RO:HOM0000017,in orthology relationship with,
6d29e227404fa5b8d9b813c1a98d0b1e,ZFIN:ZDB-GENE-020129-1,ENSEMBL:ENSECAG00000019096,RO:HOM0000020,in 1 to 1 orthology relationship with,
a03113c1a8f35885f8728306ae268702,ENSEMBL:ENSGALG00000004710,ENSEMBL:ENSDARG00000114153,RO:HOM0000017,in orthology relationship with,
df89e0e43384f0c629913495590220c1,HGNC:6492,ENSEMBL:ENSACAG00000005133,RO:HOM0000020,in 1 to 1 orthology relationship with,
1ba50604048c9861edf3f7803b26e2a8,ENSEMBL:ENSBTAG00000051965,RGD:621436,RO:HOM0000020,in 1 to 1 orthology relationship with,
6e9c47d644f6d67dd3e5dd62ba715b73,WormBase:WBGene00000424,ENSEMBL:ENSECAG00000025102,RO:HOM0000017,in orthology relationship with,
9f335ec25887ea167c5043a0b2bb25ac,ENSEMBL:ENSPTRG00000022217,ENSEMBL:ENSBTAG00000002615,RO:HOM0000020,in 1 to 1 orthology relationship with,
3539c95f7d2886f108cd35a81e10a354,ZFIN:ZDB-GENE-040718-374,MGI:105073,RO:HOM0000017,in orthology relationship with,
45bc985867f6e286d5b5c87d2cf8a306,HGNC:2888,HGNC:163,RO:0002434,interacts with,
05cd20181830f12f0d32a8f593804f53,MGI:97845,MP:0000377,RO:0002200,has phenotype,
