id,label,iri,semantic
dictyBase:DDB_G0282941,DDB0185273,,gene
WBPhenotype:0001133,division axis defective,,phenotype
HP:0012005,Deja vu aura,,phenotype
ENSEMBL:ENSPTRG00000043959,ENSEMBL:ENSPTRG00000043959,,gene
HP:0001265,Hyporeflexia,,phenotype
ENSEMBL:ENSOANG00000015672,ENSEMBL:ENSOANG00000015672,,gene
RGD:621353,Cltb,,gene
MONARCH:APO_0000310APO_0000245,growth in exponential phase:decreased rate,,phenotype
HP:0012240,Increased intramyocellular lipid droplets,,phenotype
ENSEMBL:ENSECAG00000008264,ENSEMBL:ENSECAG00000008264,,gene
ENSEMBL:ENSBTAG00000014430,ENSEMBL:ENSBTAG00000014430,,gene
ENSEMBL:ENSGALG00000012163,ENSEMBL:ENSGALG00000012163,,gene
Xenbase:XB-GENE-923086,amfr,,gene
ENSEMBL:ENSACAG00000014687,ENSEMBL:ENSACAG00000014687,,gene
ENSEMBL:ENSPTRG00000004648,ENSEMBL:ENSPTRG00000004648,,gene
MP:0004791,absent lower incisors,,phenotype
WBPhenotype:0001978,germ cell partition absent,,phenotype
WBPhenotype:0000270,pleiotropic defects severe early emb,,phenotype
ENSEMBL:ENSACAG00000016106,ENSEMBL:ENSACAG00000016106,,gene
WBPhenotype:0001151,pronucleus centrosomes defective early emb,,phenotype
MGI:1858210,Stx7,,gene
ENSEMBL:ENSSSCG00000000071,ST13,,gene
MP:0002822,catalepsy,,phenotype
HP:0000422,Abnormal nasal bridge morphology,,phenotype
FlyBase:FBgn0032883,Rhau,,gene
ZP:0103474,"Z disc skeletal muscle cell malformed, abnormal",,phenotype
MONARCH:APO_0000149APO_0000005,protein/peptide accumulation:absent,,phenotype
MP:0020411,increased abdominal adipose tissue amount,,phenotype
ENSEMBL:ENSSSCG00000028104,HOXC11,,gene
ZFIN:ZDB-GENE-061026-1,ftr97,,gene
WormBase:WBGene00002299,let-23,,gene
FlyBase:FBgn0263968,nonC,,gene
MP:0001525,impaired balance,,phenotype
ENSEMBL:ENSECAG00000009442,ENSEMBL:ENSECAG00000009442,,gene
HGNC:4055,XRCC6,,gene
FlyBase:FBgn0036260,Rh7,,gene
Xenbase:XB-GENE-1009901,polr1c,,gene
FlyBase:FBgn0034923,Upf3,,gene
ZP:0003476,"heart primordium decreased size, abnormal",,phenotype
WBPhenotype:0001719,unfolded protein response variant,,phenotype
HP:0007033,Cerebellar dysplasia,,phenotype
ZP:0003398,"cell death increased frequency, abnormal",,phenotype
PomBase:SPAC11G7.02,pub1,,gene
dictyBase:DDB_G0278345,acly,,gene
MP:0005095,decreased T cell proliferation,,phenotype
ENSEMBL:ENSBTAG00000053213,ENSEMBL:ENSBTAG00000053213,,gene
ENSEMBL:ENSGALG00000025811,ENSEMBL:ENSGALG00000025811,,gene
ENSEMBL:ENSFCAG00000018666,ENSEMBL:ENSFCAG00000018666,,gene
ENSEMBL:ENSSSCG00000028007,ENSEMBL:ENSSSCG00000028007,,gene
ENSEMBL:ENSOANG00000045435,ENSEMBL:ENSOANG00000045435,,gene
ENSEMBL:ENSECAG00000008938,ENSEMBL:ENSECAG00000008938,,gene
Coriell:GM04837,NIGMS-GM04837,,biological artifact
MP:0009703,decreased birth body size,,phenotype
HGNC:26027,COMMD4,,gene
ENSEMBL:ENSPTRG00000012575,ENSEMBL:ENSPTRG00000012575,,gene
RGD:1589575,Nrbp1,,gene
SGD:S000004889,DSK2,,gene
HP:0006482,Abnormality of dental morphology,,phenotype
PomBase:SPAC13G7.03,upf3,,gene
HP:0100645,Cystocele,,phenotype
ENSEMBL:ENSACAG00000007859,ENSEMBL:ENSACAG00000007859,,gene
ENSEMBL:ENSMODG00000005185,ENSEMBL:ENSMODG00000005185,,gene
PomBase:SPBC582.09,pex11,,gene
ENSEMBL:ENSMODG00000011614,ENSEMBL:ENSMODG00000011614,,gene
FBcv:0002011,majority die during first instar larval stage,,phenotype
Xenbase:XB-GENE-995345,map6,,gene
