id,subject,object,relation_id,relation_label,relation_iri,references
35590f14-6b70-4aa1-9eed-37ad5083b483,ClinVarVariant:417494,MONDO:0010679,GENO:0000840,pathogenic_for_condition,http://purl.obolibrary.org/obo/GENO_0000840,
2b03e4e2-a9bb-4877-bfcd-affccd772ee2,ClinVarVariant:803904,MONDO:0010679,GENO:0000840,pathogenic_for_condition,http://purl.obolibrary.org/obo/GENO_0000840,
f4c67e09-a8a9-465d-82f8-f717eb35f76f,HGNC:2928,HGNC:347,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,PMID:22937058
7a571001-7d36-494a-a95f-44bf7180d039,ClinVarVariant:497147,HGNC:2928,GENO:0000418,has_affected_feature,http://purl.obolibrary.org/obo/GENO_0000418,
c18c374d-62c6-48f6-8e6c-25d5fd149260,HGNC:11872,HGNC:2928,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,
25c9a9bb-2508-4f43-9ea6-c2939480dba7,ClinVarVariant:565437,MONDO:0010679,GENO:0000840,pathogenic_for_condition,http://purl.obolibrary.org/obo/GENO_0000840,PMID:21520333
0f39018e-7aa8-4a04-9380-e9d55051a983,HGNC:2928,HGNC:9611,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,
73587f01-863b-4c34-9cf3-fbc2bdb2ea0c,ClinVarVariant:409885,HGNC:2928,GENO:0000418,has_affected_feature,http://purl.obolibrary.org/obo/GENO_0000418,
8036a9c0-e673-485d-842b-aef2b455e4d7,ClinVarVariant:94684,HGNC:2928,GENO:0000418,has_affected_feature,http://purl.obolibrary.org/obo/GENO_0000418,
95234e36-5a2c-4223-be71-326c02cde863,ClinVarVariant:526048,HGNC:2928,GENO:0000418,has_affected_feature,http://purl.obolibrary.org/obo/GENO_0000418,
20fef5ee-8747-4274-bbe8-cb19e790a3d5,ClinVarVariant:447261,MONDO:0010679,GENO:0000840,pathogenic_for_condition,http://purl.obolibrary.org/obo/GENO_0000840,
505ab24d-d307-495d-88e6-8abd91408c2c,OMIM:300377.0012,HGNC:2928,GENO:0000408,is_allele_of,http://purl.obolibrary.org/obo/GENO_0000408,
590cc2e7-adbd-4aa3-9a27-1a72274f6f70,ClinVarVariant:803832,HGNC:2928,GENO:0000418,has_affected_feature,http://purl.obolibrary.org/obo/GENO_0000418,
