id,label,iri,semantic,taxon_id,taxon_label,semantic_label
Xenbase:XB-GENE-966302,pak2,http://www.xenbase.org/gene/showgene.do?method=display&geneId=XB-GENE-966302,gene,NCBITaxon:8364,Xenopus tropicalis,Gene
ZFIN:ZDB-GENE-061027-102,desmb,http://zfin.org/ZDB-GENE-061027-102,gene,NCBITaxon:7955,Danio rerio,Gene
HGNC:7727,NEDD4,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7727,gene,NCBITaxon:9606,Homo sapiens,Gene
WormBase:WBGene00000064,act-2,https://www.wormbase.org/get?name=WBGene00000064,gene,NCBITaxon:6239,Caenorhabditis elegans,Gene
ZFIN:ZDB-GENE-000329-1,actb1,http://zfin.org/ZDB-GENE-000329-1,gene,NCBITaxon:7955,Danio rerio,Gene
NCBITaxon:284812,Schizosaccharomyces pombe 972h-,NA,taxon,NA,NA,Taxon
ENSEMBL:ENSFCAG00000002054,ENSEMBL:ENSFCAG00000002054,http://ensembl.org/id/ENSFCAG00000002054,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSMODG00000007852,ENSEMBL:ENSMODG00000007852,http://ensembl.org/id/ENSMODG00000007852,gene,NCBITaxon:13616,Monodelphis domestica,Gene
FlyBase:FBgn0031261,nAChRbeta3,http://flybase.org/reports/FBgn0031261,gene,NCBITaxon:7227,Drosophila melanogaster,Gene
ENSEMBL:ENSACAG00000011077,ENSEMBL:ENSACAG00000011077,http://ensembl.org/id/ENSACAG00000011077,gene,NCBITaxon:28377,Anolis carolinensis,Gene
FlyBase:FBgn0035656,CG10479,http://flybase.org/reports/FBgn0035656,gene,NCBITaxon:7227,Drosophila melanogaster,Gene
dictyBase:DDB_G0278587,DDB_G0278587,http://dictybase.org/gene/DDB_G0278587,gene,NCBITaxon:44689,Dictyostelium discoideum,Gene
ENSEMBL:ENSFCAG00000014942,ENSEMBL:ENSFCAG00000014942,http://ensembl.org/id/ENSFCAG00000014942,gene,NCBITaxon:9685,Felis catus,Gene
ENSEMBL:ENSMMUG00000014741,ENSEMBL:ENSMMUG00000014741,http://ensembl.org/id/ENSMMUG00000014741,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSACAG00000005431,ENSEMBL:ENSACAG00000005431,http://ensembl.org/id/ENSACAG00000005431,gene,NCBITaxon:28377,Anolis carolinensis,Gene
ENSEMBL:ENSOANG00000015045,ENSEMBL:ENSOANG00000015045,http://ensembl.org/id/ENSOANG00000015045,gene,NCBITaxon:9258,Ornithorhynchus anatinus,Gene
ZFIN:ZDB-GENE-041212-37,tnni1b,http://zfin.org/ZDB-GENE-041212-37,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSECAG00000010805,ENSEMBL:ENSECAG00000010805,http://ensembl.org/id/ENSECAG00000010805,gene,NCBITaxon:9796,Equus caballus,Gene
MGI:2442474,Dgkb,http://www.informatics.jax.org/accession/MGI:2442474,gene,NCBITaxon:10090,Mus musculus,Gene
ENSEMBL:ENSMMUG00000007878,ENSEMBL:ENSMMUG00000007878,http://ensembl.org/id/ENSMMUG00000007878,gene,NCBITaxon:9544,Macaca mulatta,Gene
RGD:1311030,Tmod3,http://rgd.mcw.edu/rgdweb/report/gene/main.html?id=1311030,gene,NCBITaxon:10116,Rattus norvegicus,Gene
dictyBase:DDB_G0283709,osbH,http://dictybase.org/gene/DDB_G0283709,gene,NCBITaxon:44689,Dictyostelium discoideum,Gene
ENSEMBL:ENSGALG00000006572,TNNT3,http://ensembl.org/id/ENSGALG00000006572,gene,NCBITaxon:9031,Gallus gallus,Gene
ENSEMBL:ENSBTAG00000011849,ENSEMBL:ENSBTAG00000011849,http://ensembl.org/id/ENSBTAG00000011849,gene,NCBITaxon:9913,Bos taurus,Gene
ENSEMBL:ENSGALG00000039735,EML1,http://ensembl.org/id/ENSGALG00000039735,gene,NCBITaxon:9031,Gallus gallus,Gene
dictyBase:DDB_G0287981,DDB0187718,http://dictybase.org/gene/DDB_G0287981,gene,NCBITaxon:44689,Dictyostelium discoideum,Gene
MGI:88274,Ctnna1,http://www.informatics.jax.org/accession/MGI:88274,gene,NCBITaxon:10090,Mus musculus,Gene
ENSEMBL:ENSMMUG00000043626,ENSEMBL:ENSMMUG00000043626,http://ensembl.org/id/ENSMMUG00000043626,gene,NCBITaxon:9544,Macaca mulatta,Gene
ENSEMBL:ENSBTAG00000001975,ENSEMBL:ENSBTAG00000001975,http://ensembl.org/id/ENSBTAG00000001975,gene,NCBITaxon:9913,Bos taurus,Gene
ENSEMBL:ENSACAG00000010598,ENSEMBL:ENSACAG00000010598,http://ensembl.org/id/ENSACAG00000010598,gene,NCBITaxon:28377,Anolis carolinensis,Gene
ENSEMBL:ENSMODG00000017436,ENSEMBL:ENSMODG00000017436,http://ensembl.org/id/ENSMODG00000017436,gene,NCBITaxon:13616,Monodelphis domestica,Gene
WormBase:WBGene00016801,C50C3.5,https://www.wormbase.org/get?name=WBGene00016801,gene,NCBITaxon:6239,Caenorhabditis elegans,Gene
NCBIGene:100537765,LOC100537765,https://www.ncbi.nlm.nih.gov/gene/100537765,gene,NCBITaxon:7955,Danio rerio,Gene
ENSEMBL:ENSPTRG00000048969,ENSEMBL:ENSPTRG00000048969,http://ensembl.org/id/ENSPTRG00000048969,gene,NCBITaxon:9598,Pan troglodytes,Gene
MGI:98810,Tpm2,http://www.informatics.jax.org/accession/MGI:98810,gene,NCBITaxon:10090,Mus musculus,Gene
HGNC:399,ALB (human),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:399,gene,NCBITaxon:9606,Homo sapiens,Gene
dictyBase:DDB_G0292560,racJ,http://dictybase.org/gene/DDB_G0292560,gene,NCBITaxon:44689,Dictyostelium discoideum,Gene
ENSEMBL:ENSCAFG00000009404,TNNC1,http://ensembl.org/id/ENSCAFG00000009404,gene,NCBITaxon:9615,Canis lupus familiaris,Gene
ENSEMBL:ENSFCAG00000026567,ENSEMBL:ENSFCAG00000026567,http://ensembl.org/id/ENSFCAG00000026567,gene,NCBITaxon:9685,Felis catus,Gene
